City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,taoudenni,22.6783,-3.9836,304.45,7,32,2.53,ML,1709921557
268,boguchany,58.3814,97.4531,259.18,98,83,1.34,RU,1709921558
269,lorengau,-2.0226,147.2712,300.43,81,94,1.87,PG,1709921559
270,tahlequah,35.9154,-94.97,288.75,100,40,2.57,US,1709921388
271,oltinko'l,40.8011,72.1634,281.85,55,39,3.29,UZ,1709921562
272,san carlos de bariloche,-41.1456,-71.3082,282.9,70,57,8.82,AR,1709921563
273,iskateley,67.6803,53.1512,252.05,100,83,2.68,RU,1709921565
274,nordborg,55.0573,9.7408,275.32,93,75,4.63,DK,1709921566
275,harstad,68.799,16.5293,274.71,96,99,7.15,NO,1709921471
276,rumphi,-11.0186,33.8575,291.93,83,42,1.77,MW,1709921569
277,la ronge,55.1001,-105.2842,265.29,49,0,3.09,CA,1709921570
278,kaarina,60.4072,22.369,270.33,90,100,2.57,FI,1709921571
279,hedaru,-4.5,37.9,298.98,68,64,1.54,TZ,1709921573
280,stanley,54.868,-1.6985,277.92,74,75,6.69,GB,1709921298
281,east london,-33.0153,27.9116,293.67,83,0,2.57,ZA,1709921575
282,longjiang,47.3303,123.1836,264.43,60,0,2.42,CN,1709921577
283,sitka,57.0531,-135.33,279.09,70,100,9.77,US,1709921316
284,trinec,49.6776,18.6708,279.14,74,45,0.89,CZ,1709921579
285,odienne,9.51,-7.5692,309.77,25,80,0.81,CI,1709921580
286,atafu village,-8.5421,-172.5159,301.66,75,13,2.87,TK,1709921588
287,pitimbu,-7.4706,-34.8086,303.0,63,99,5.31,BR,1709921369
288,severnoye,56.3491,78.3619,260.92,91,85,5.36,RU,1709921595
289,nsunga,-1.1439,31.3947,293.75,75,85,0.24,TZ,1709921596
290,vizinga,61.0749,50.1031,262.17,94,100,3.25,RU,1709921598
291,benjamin constant,-4.3831,-70.0311,304.22,70,40,2.06,BR,1709921599
292,hovd,48.0056,91.6419,266.34,58,13,0.3,MN,1709921600
293,san juan,-31.5375,-68.5364,309.26,19,0,4.79,AR,1709921608
294,chardara,41.2547,67.9692,286.87,47,88,8.09,KZ,1709921611
295,laojunmiao,39.8333,97.7333,269.57,38,13,3.06,CN,1709921333
296,ponta delgada,37.7333,-25.6667,289.55,63,40,7.72,PT,1709921614
297,vilyuysk,63.7553,121.6247,252.04,100,95,2.68,RU,1709921616
298,isafjordur,66.0755,-23.124,279.17,65,75,4.12,IS,1709921617
299,zhongshu,24.5167,103.7667,282.08,92,53,1.78,CN,1709921618
300,puerto cabello,10.4731,-68.0125,299.89,90,22,4.22,VE,1709921620
301,medina,24.4686,39.6142,300.39,6,0,4.63,SA,1709921621
302,minas de marcona,-15.2119,-75.1103,296.6,61,54,6.73,PE,1709921342
303,cockburn town,21.4612,-71.1419,298.9,80,0,5.97,TC,1709921624
304,bubaque,11.2833,-15.8333,297.94,70,26,7.6,GW,1709921627
305,lannion,48.75,-3.4167,283.71,84,100,3.6,FR,1709921628
306,tomatlan,19.9333,-105.25,305.1,16,67,2.28,MX,1709921460
307,bamboo flat,11.7,92.7167,297.92,72,58,2.5,IN,1709921364
308,tralee,52.2704,-9.7026,281.29,71,75,10.29,IE,1709921632
309,taft,31.7471,54.2088,289.12,19,40,3.09,IR,1709921634
310,tazovsky,67.4667,78.7,241.05,100,39,2.36,RU,1709921635
311,porto novo,6.4965,2.6036,302.05,76,48,4.53,BJ,1709921636
312,labrador city,52.9463,-66.9114,265.1,53,0,1.54,CA,1709921638
313,safaga,26.7292,33.9365,293.91,46,1,3.8,EG,1709921639
314,nova olinda do norte,-3.8881,-59.0942,304.5,69,92,1.23,BR,1709921640
315,uwajima,33.2238,132.56,279.8,65,80,8.39,JP,1709921642
316,sao joao da barra,-21.6403,-41.0511,304.2,78,40,4.37,BR,1709921492
317,tianfu,37.1936,122.0511,271.67,55,0,2.12,CN,1709921645
318,khed,17.7167,73.3833,297.77,36,1,1.47,IN,1709921646
319,fisterra,42.9049,-9.2629,284.12,72,96,14.62,ES,1709921648
320,dunedin,-45.8742,170.5036,285.26,79,87,8.94,NZ,1709921368
321,howrah,22.5892,88.3103,295.15,60,0,0.0,IN,1709921650
322,nishinoomote,30.7333,131.0,285.13,57,93,12.97,JP,1709921652
323,gaalkacyo,6.7697,47.4308,300.15,59,14,9.27,SO,1709921653
324,airdrie,55.866,-3.9803,278.75,80,90,6.83,GB,1709921656
325,tegueste,28.5167,-16.3167,290.74,81,20,6.69,ES,1709921642
326,hampton bays,40.869,-72.5176,284.79,55,0,4.02,US,1709921659
327,chonchi,-42.6128,-73.8092,287.71,71,63,4.48,CL,1709921660
328,sandnessjoen,66.0217,12.6316,276.21,93,75,1.54,NO,1709921662
329,vila franca do campo,37.7167,-25.4333,289.38,67,91,7.75,PT,1709921663
330,mongoumba,3.6415,18.5936,297.15,86,97,3.0,CF,1709921664
331,miranda,3.2499,-76.2281,303.22,63,42,1.62,CO,1709921650
332,mareeba,-17.0,145.4333,297.28,90,100,1.38,AU,1709921667
333,stephenville,32.2207,-98.2023,295.33,67,40,6.17,US,1709921668
334,tanjung pandan,-2.75,107.65,298.97,90,100,6.26,ID,1709921669
335,hailey,43.5196,-114.3153,267.07,58,0,2.06,US,1709921536
336,prince rupert,54.3161,-130.3201,278.98,87,100,16.46,CA,1709921672
337,chake chake,-5.2459,39.7666,301.22,75,66,2.73,TZ,1709921673
338,melfort,52.8667,-104.6177,263.22,67,31,4.63,CA,1709921675
339,cadale,2.7603,46.3222,299.91,80,35,6.75,SO,1709921677
340,tombodu,8.1333,-10.6167,305.99,47,80,1.48,SL,1709921679
341,sterling,39.0062,-77.4286,288.95,60,75,2.57,US,1709921680
342,shanwei,22.782,115.3475,289.57,68,55,8.49,CN,1709921476
343,igarka,67.4667,86.5833,257.81,96,100,4.27,RU,1709921683
344,new norfolk,-42.7826,147.0587,287.87,99,95,1.37,AU,1709921684
345,widnes,53.3618,-2.7341,281.09,73,75,8.23,GB,1709921685
346,geraldton,-28.7667,114.6,293.38,73,100,8.23,AU,1709921686
347,cibitoke,-2.8833,29.25,291.58,87,74,2.01,BI,1709921688
348,kalaswala,32.2009,74.6491,289.13,54,7,3.02,PK,1709921690
349,midvagur,62.0511,-7.1939,278.61,81,75,8.75,FO,1709921692
350,ubatuba,-23.4339,-45.0711,299.09,92,84,4.16,BR,1709921693
351,nantucket,41.2835,-70.0995,280.23,75,100,12.35,US,1709921694
352,flying fish cove,-10.4217,105.6791,298.97,94,75,5.14,CX,1709921696
353,san antonio de pale,-1.4014,5.6325,302.18,74,38,0.96,GQ,1709921697
354,baruun-urt,46.6806,113.2792,253.81,98,45,1.06,MN,1709921698
355,quimili,-27.6333,-62.4167,310.43,38,29,5.12,AR,1709921699
356,talara,-4.5772,-81.2719,307.57,46,0,4.12,PE,1709921701
357,t'q'ibuli,42.3512,42.9987,275.66,94,98,0.16,GE,1709921702
358,strezhevoy,60.7333,77.5889,264.24,92,100,5.81,RU,1709921704
359,iwanai,42.9744,140.5089,267.68,79,36,1.73,JP,1709921705
360,tolanaro,-25.0319,46.9987,297.35,91,78,5.68,MG,1709921706
361,valparaiso,-33.0393,-71.6273,304.34,34,0,7.2,CL,1709921708
362,mahina,-17.5065,-149.489,302.02,74,20,1.03,PF,1709921454
